"","building_eval_score","year_built","year_evaluated","wardname","reactive_score"
"254",80,1953,2023,"Etobicoke-Lakeshore",0
"255",90,1953,2024,"Etobicoke-Lakeshore",0
"256",93,1954,2024,"York South-Weston",0
"257",93,1996,2023,"Willowdale",0
"258",95,1970,2024,"Willowdale",0
"259",96,1967,2023,"Don Valley North",0
"260",87,1966,2023,"Don Valley East",0
"261",93,1980,2024,"Toronto-Danforth",0
"262",62,1985,2023,"University-Rosedale",0
"263",85,1985,2024,"Humber River-Black Creek",0
"264",82,1960,2023,"Humber River-Black Creek",0
"265",85,1973,2024,"Humber River-Black Creek",0
"266",85,2012,2024,"Spadina-Fort York",0
"267",96,1978,2024,"Toronto-Danforth",0
"268",93,2002,2023,"Toronto-Danforth",0
"269",74,1926,2024,"Toronto-Danforth",0
"270",87,1988,2024,"Toronto-Danforth",0
"271",97,1991,2023,"Beaches-East York",0
"272",82,1988,2023,"Beaches-East York",0
"273",87,1970,2024,"Beaches-East York",0
"274",92,2007,2024,"Beaches-East York",0
"275",90,1978,2024,"Scarborough Southwest",0
"276",89,1962,2024,"Scarborough Southwest",0
"277",90,1965,2024,"Scarborough Southwest",0
"278",92,1959,2023,"Scarborough Southwest",0
"279",90,1958,2023,"Scarborough Southwest",0
"280",84,1958,2024,"Scarborough Southwest",0
"281",97,1958,2024,"Scarborough Centre",0
"282",95,1960,2024,"Scarborough Centre",0
"283",99,1978,2023,"Scarborough Centre",0
"284",87,1967,2023,"Scarborough Centre",0
"285",88,1969,2024,"Scarborough Centre",0
"286",89,1967,2024,"Scarborough Centre",0
"287",96,1962,2023,"Scarborough Centre",-1
"288",98,1965,2023,"Scarborough Centre",0
"289",99,1963,2023,"Scarborough Centre",0
"290",89,1980,2024,"University-Rosedale",0
"291",70,1969,2023,"University-Rosedale",0
"292",90,1968,2024,"University-Rosedale",0
"293",80,1900,2024,"University-Rosedale",-2
"294",97,1967,2024,"Toronto-St. Paul's",0
"295",89,1928,2024,"Toronto-St. Paul's",0
"296",80,1992,2023,"Toronto-St. Paul's",0
"297",88,1978,2024,"Davenport",0
"298",99,1973,2023,"Toronto-St. Paul's",0
"299",92,1970,2023,"Toronto-St. Paul's",0
"300",100,2017,2023,"Toronto-St. Paul's",0
"301",96,1970,2024,"Toronto-St. Paul's",0
"302",96,1970,2024,"Toronto-St. Paul's",0
"303",92,1969,2024,"Toronto-St. Paul's",0
"304",80,1965,2024,"Beaches-East York",0
"305",75,1994,2024,"Beaches-East York",0
"306",87,1970,2023,"Beaches-East York",-1
"307",45,1966,2024,"Beaches-East York",-6
"308",94,1958,2023,"Beaches-East York",0
"309",75,1959,2024,"Beaches-East York",-1
"310",64,1960,2023,"Beaches-East York",0
